query,hint,latency_seconds,error
13b.sql, ,1.418794,
13b.sql,hint1,1.779684,
13b.sql,hint2,5.665706,
13b.sql,hint3,3.6898069999999996,
13b.sql,hint4,0.8236829999999999,
13b.sql,hint5,2.50476,
13b.sql,hint6,0.813166,
13b.sql,hint7,0.409372,
13b.sql,hint8,1.6862080000000002,
13b.sql,hint9,1.6282349999999999,
13b.sql,hint10,0.7261190000000001,
13b.sql,hint11,0.5297949999999999,
13b.sql,hint12,1.7083510000000002,
13b.sql,hint13,0.684572,
13b.sql,hint14,0.520224,
13b.sql,hint15,1.712919,
13b.sql,hint16,2.5881190000000003,
13b.sql,hint17,2.2079470000000003,
13b.sql,hint18,0.803975,
13b.sql,hint19,0.39349900000000004,
13b.sql,hint20,1.708917,
13b.sql,hint21,0.811117,
13b.sql,hint22,0.37765499999999996,
13b.sql,hint23,1.7187560000000002,
13b.sql,hint24,0.5177419999999999,
13b.sql,hint25,1.730066,
13b.sql,hint26,0.514992,
13b.sql,hint27,1.7193109999999998,
13b.sql,hint28,3.149934,
13b.sql,hint29,0.828736,
13b.sql,hint30,0.802759,
13b.sql,hint31,2.782034,
13b.sql,hint32,0.8080689999999999,
13b.sql,hint33,0.806009,
13b.sql,hint34,1.641349,
13b.sql,hint35,0.693781,
13b.sql,hint36,0.167022,
13b.sql,hint37,4.613383,
13b.sql,hint38,0.72163,
13b.sql,hint39,0.17049,
13b.sql,hint40,3.127874,
13b.sql,hint41,0.810613,
13b.sql,hint42,0.8014009999999999,
13b.sql,hint43,2.7656080000000003,
13b.sql,hint44,0.8231269999999999,
13b.sql,hint45,0.8014349999999999,
13b.sql,hint46,0.16231800000000002,
13b.sql,hint47,4.273746,
13b.sql,hint48,0.182838,
3c.sql, ,0.847977,
3c.sql,hint1,2.2459540000000002,
3c.sql,hint2,2.509604,
3c.sql,hint3,2.501174,
3c.sql,hint4,0.302641,
3c.sql,hint5,1.094369,
3c.sql,hint6,0.26594799999999996,
3c.sql,hint7,0.251286,
3c.sql,hint8,1.085055,
3c.sql,hint9,2.0761149999999997,
3c.sql,hint10,2.0712170000000003,
3c.sql,hint11,0.279431,
3c.sql,hint12,1.151336,
3c.sql,hint13,2.0816280000000003,
3c.sql,hint14,0.28897300000000004,
3c.sql,hint15,1.086097,
3c.sql,hint16,2.493414,
3c.sql,hint17,2.565334,
3c.sql,hint18,0.263571,
3c.sql,hint19,0.270615,
3c.sql,hint20,1.094282,
3c.sql,hint21,0.26229,
3c.sql,hint22,0.236324,
3c.sql,hint23,1.0984880000000001,
3c.sql,hint24,0.29682600000000003,
3c.sql,hint25,1.089453,
3c.sql,hint26,0.276787,
3c.sql,hint27,1.086836,
3c.sql,hint28,8.597172,
3c.sql,hint29,0.272048,
3c.sql,hint30,0.237661,
3c.sql,hint31,7.972141,
3c.sql,hint32,0.26904300000000003,
3c.sql,hint33,0.258487,
3c.sql,hint34,2.0745790000000004,
3c.sql,hint35,2.070716,
3c.sql,hint36,0.307927,
3c.sql,hint37,3.652831,
3c.sql,hint38,2.094646,
3c.sql,hint39,0.28994099999999995,
3c.sql,hint40,8.56236,
3c.sql,hint41,0.265318,
3c.sql,hint42,0.23738900000000002,
3c.sql,hint43,8.021310999999999,
3c.sql,hint44,0.280551,
3c.sql,hint45,0.270539,
